Country;(migrant(s)/1,000 population) ;
Sierra Leone ;-1.20;-1.20
Curacao ;-1.30;-1.30
Senegal ;-1.30;-1.30
Sri Lanka ;-1.30;-1.30
Vanuatu ;-1.30;-1.30
Burma ;-1.40;-1.40
Honduras ;-1.40;-1.40
Tunisia ;-1.40;-1.40
Gambia, The ;-1.60;-1.60
Ghana ;-1.60;-1.60
Solomon Islands ;-1.60;-1.60
Guatemala ;-1.70;-1.70
Mozambique ;-1.70;-1.70
Saint Lucia ;-1.70;-1.70
Turkmenistan ;-1.70;-1.70
Kosovo ;-1.80;-1.80
Peru ;-1.80;-1.80
Philippines ;-1.80;-1.80
Haiti ;-1.90;-1.90
Mexico ;-1.90;-1.90
Morocco ;-1.90;-1.90
Uzbekistan ;-1.90;-1.90
Comoros ;-2.30;-2.30
Nicaragua ;-2.40;-2.40
Grenada ;-2.60;-2.60
Dominican Republic ;-2.70;-2.70
Kiribati ;-2.80;-2.80
Liberia ;-2.90;-2.90
Bangladesh ;-3.00;-3.00
Saint Barthelemy ;-3.00;-3.00
Estonia ;-3.10;-3.10
Nepal ;-3.10;-3.10
Albania ;-3.30;-3.30
Gibraltar ;-3.30;-3.30
Kuwait ;-3.30;-3.30
Rwanda ;-3.30;-3.30
Venezuela ;-3.40;-3.40
Uganda ;-3.50;-3.50
Cuba ;-3.70;-3.70
Guinea-Bissau ;-3.80;-3.80
Somalia ;-3.80;-3.80
Mali ;-3.90;-3.90
Timor-Leste ;-3.90;-3.90
West Bank ;-4.20;-4.20
Turkey ;-4.30;-4.30
Wallis and Futuna ;-4.30;-4.30
Marshall Islands ;-4.50;-4.50
Gaza Strip ;-4.70;-4.70
El Salvador ;-4.80;-4.80
Montenegro ;-4.90;-4.90
Kyrgyzstan ;-5.00;-5.00
Zimbabwe ;-5.00;-5.00
Dominica ;-5.30;-5.30
Trinidad and Tobago ;-5.40;-5.40
Armenia ;-5.50;-5.50
Latvia ;-5.90;-5.90
Lithuania ;-5.90;-5.90
Greenland ;-6.00;-6.00
Saint Martin ;-6.00;-6.00
Lesotho ;-6.10;-6.10
Fiji ;-6.20;-6.20
Tuvalu ;-6.50;-6.50
Eswatini ;-6.80;-6.80
Saint Vincent and the Grenadines ;-7.20;-7.20
Virgin Islands ;-7.50;-7.50
Saint Pierre and Miquelon ;-7.70;-7.70
Sao Tome and Principe ;-7.90;-7.90
Samoa ;-8.10;-8.10
Moldova ;-9.00;-9.00
Jamaica ;-9.40;-9.40
Guam ;-11.00;-11.00
Jordan ;-11.30;-11.30
Nauru ;-11.30;-11.30
Eritrea ;-11.60;-11.60
Maldives ;-12.70;-12.70
Puerto Rico ;-14.10;-14.10
Northern Mariana Islands ;-15.40;-15.40
Tonga ;-17.90;-17.90
Micronesia, Federated States of ;-20.90;-20.90
American Samoa ;-26.10;-26.10
Cook Islands ;-29.90;-29.90
Lebanon ;-88.70;-88.70
