Country;% (of GDP);
Cabo Verde;27.80;27.80
Albania;27.60;27.60
Mauritania;27.40;27.40
Bhutan;27.20;27.20
Vanuatu;27.20;27.20
Peru;27.10;27.10
Saint Pierre and Miquelon;26.80;26.80
Mozambique;26.70;26.70
Mongolia;26.60;26.60
South Africa;26.60;26.60
Ukraine;26.60;26.60
Colombia;26.50;26.50
Israel;26.50;26.50
Maldives;26.40;26.40
Qatar;26.40;26.40
Saudi Arabia;26.40;26.40
Sao Tome and Principe;26.20;26.20
Ireland;26.00;26.00
Grenada;25.80;25.80
Comoros;25.30;25.30
Aruba;25.20;25.20
Vietnam;24.80;24.80
Tunisia;24.70;24.70
Trinidad and Tobago;24.50;24.50
Nepal;23.80;23.80
El Salvador;23.70;23.70
Jordan;23.60;23.60
Saint Lucia;23.60;23.60
Azerbaijan;23.50;23.50
Gibraltar;23.30;23.30
Hong Kong;23.20;23.20
Korea, South;23.20;23.20
Armenia;22.90;22.90
Mexico;22.70;22.70
Congo, Republic of the;22.50;22.50
Mauritius;22.50;22.50
Kazakhstan;22.30;22.30
Malawi;21.70;21.70
Lebanon;21.50;21.50
Togo;21.50;21.50
Zimbabwe;21.50;21.50
Guam;21.40;21.40
Niger;21.40;21.40
China;21.30;21.30
Rwanda;21.30;21.30
Burkina Faso;21.20;21.20
Morocco;20.90;20.90
Chile;20.80;20.80
Guernsey;20.60;20.60
New Caledonia;20.40;20.40
Gambia, The;20.30;20.30
Ghana;20.30;20.30
Honduras;20.30;20.30
Turkey (Turkiye);20.30;20.30
Panama;20.10;20.10
Mali;20.00;20.00
Antigua and Barbuda;19.60;19.60
Senegal;19.60;19.60
Cote d'Ivoire;19.10;19.10
Argentina;18.90;18.90
Brunei;18.50;18.50
Sudan;18.50;18.50
Papua New Guinea;18.40;18.40
Laos;18.30;18.30
Guinea-Bissau;18.20;18.20
Haiti;18.20;18.20
Cambodia;17.90;17.90
Egypt;17.90;17.90
Bahamas, The;17.60;17.60
Gabon;17.60;17.60
Kenya;17.60;17.60
Zambia;17.40;17.40
Iran;17.30;17.30
Benin;17.10;17.10
United States;17.00;17.00
Equatorial Guinea;16.90;16.90
Liberia;16.90;16.90
Wallis and Futuna;16.70;16.70
Bahrain;16.60;16.60
Curacao;16.60;16.60
Guinea;16.60;16.60
Jersey;16.60;16.60
Malaysia;16.40;16.40
Russia;16.40;16.40
Suriname;16.40;16.40
Bermuda;16.30;16.30
Taiwan;16.00;16.00
Madagascar;15.90;15.90
Burundi;15.80;15.80
Singapore;15.70;15.70
Philippines;15.60;15.60
Sierra Leone;15.60;15.60
Pakistan;15.40;15.40
Cameroon;15.30;15.30
Tanzania;15.20;15.20
Thailand;15.20;15.20
Dominican Republic;14.90;14.90
Liechtenstein;14.90;14.90
Monaco;14.90;14.90
Turkmenistan;14.90;14.90
Central African Republic;14.60;14.60
Uganda;14.50;14.50
Costa Rica;14.30;14.30
Isle of Man;14.20;14.20
Paraguay;14.20;14.20
Ethiopia;13.90;13.90
Sri Lanka;13.80;13.80
Burma;13.50;13.50
Chad;13.50;13.50
West Bank;13.40;13.40
Indonesia;13.00;13.00
Korea, North;11.40;11.40
Afghanistan;11.20;11.20
Congo, Democratic Republic of the;11.20;11.20
Guatemala;10.80;10.80
Timor-Leste;10.80;10.80
Bangladesh;9.60;9.60
India;9.20;9.20
Yemen;9.00;9.00
Puerto Rico;8.90;8.90
South Sudan;8.50;8.50
Syria;4.20;4.20
Nigeria;3.40;3.40
Somalia;2.10;2.10
