Country;GDP - per capita (PPP) ;
;;
Dominica ;"$10,400 (2010 est.) 
$10,300 (2009 est.) 
$10,400 (2008 est.) 
note: data are in 2010 US dollars ";10,400
;;#VALUE!
Dominican Republic ;"$8,900 (2010 est.) 
$8,400 (2009 est.) 
$8,200 (2008 est.) 
note: data are in 2010 US dollars ";8,900
;;#VALUE!
Ecuador ;"$7,800 (2010 est.) 
$7,600 (2009 est.) 
$7,700 (2008 est.) 
note: data are in 2010 US dollars ";7,800
;;#VALUE!
Egypt ;"$6,200 (2010 est.) 
$6,000 (2009 est.) 
$5,900 (2008 est.) 
note: data are in 2010 US dollars ";6,200
;;#VALUE!
El Salvador ;"$7,200 (2010 est.) 
$7,200 (2009 est.) 
$7,500 (2008 est.) 
note: data are in 2010 US dollars ";7,200
;;#VALUE!
Equatorial Guinea ;"$36,600 (2010 est.) 
$37,900 (2009 est.) 
$36,800 (2008 est.) 
note: data are in 2010 US dollars; population figures are uncertain for Equatorial Guinea; these per capita income figures are based on a estimated population of less than 700,000; some estimates put the figure as high as 1.2 million people; if true, the per capita GDP figures would be significantly lower ";36,600
;;#VALUE!
Eritrea ;"$600 (2010 est.) 
$600 (2009 est.) 
$600 (2008 est.) 
note: data are in 2010 US dollars ";600
;;#VALUE!
Estonia ;"$19,100 (2010 est.) 
$18,400 (2009 est.) 
$21,300 (2008 est.) 
note: data are in 2010 US dollars ";19,100
;;#VALUE!
Ethiopia ;"$1,000 (2010 est.) 
$900 (2009 est.) 
$900 (2008 est.) 
note: data are in 2010 US dollars ";1,000
;;#VALUE!
European Union ;"$32,700 (2010 est.) 
$32,200 (2009 est.) 
$33,700 (2008 est.) 
note: data are in 2010 US dollars ";32,700
;;#VALUE!
Falkland Islands (Islas Malvinas) ;$35,400 (2002 est.) ;35,400
;;#VALUE!
Faroe Islands ;$32,900 (2008 est.) ;32,900
;;#VALUE!
Fiji ;"$4,400 (2010 est.) 
$4,400 (2009 est.) 
$4,600 (2008 est.) 
note: data are in 2010 US dollars ";4,400
;;#VALUE!
Finland ;"$35,400 (2010 est.) 
$34,400 (2009 est.) 
$37,500 (2008 est.) 
note: data are in 2010 US dollars ";35,400
;;#VALUE!
France ;"$33,100 (2010 est.) 
$32,800 (2009 est.) 
$33,900 (2008 est.) 
note: data are in 2010 US dollars ";33,100
;;#VALUE!
French Polynesia ;"$18,000 (2004 est.) 
$17,500 (2003 est.) ";18,000
;;#VALUE!
Gabon ;"$14,500 (2010 est.) 
$14,000 (2009 est.) 
$14,500 (2008 est.) 
note: data are in 2010 US dollars ";14,500
;;#VALUE!
Gambia, The ;"$1,900 (2010 est.) 
$1,900 (2009 est.) 
$1,800 (2008 est.) 
note: data are in 2010 US dollars ";1,900
;;#VALUE!
Gaza Strip ;see entry for West Bank ;ee
;;#VALUE!
Georgia ;"$4,900 (2010 est.) 
$4,600 (2009 est.) 
$4,700 (2008 est.) 
note: data are in 2010 US dollars ";4,900
;;#VALUE!
Germany ;"$35,700 (2010 est.) 
$34,500 (2009 est.) 
$36,200 (2008 est.) 
note: data are in 2010 US dollars ";35,700
;;#VALUE!
Ghana ;"$2,500 (2010 est.) 
$2,500 (2009 est.) 
$2,400 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Gibraltar ;"$43,000 (2006 est.) 
$41,200 (2007 est.) 
$38,400 (2006 est.) ";43,000
;;#VALUE!
Greece ;"$29,600 (2010 est.) 
$31,000 (2009 est.) 
$31,700 (2008 est.) 
note: data are in 2010 US dollars ";29,600
;;#VALUE!
Greenland ;"$36,500 (2008 est.) 
$35,900 (2007 est.) ";36,500
;;#VALUE!
Grenada ;"$10,200 (2010 est.) 
$10,400 (2009 est.) 
$11,300 (2008 est.) 
note: data are in 2010 US dollars ";10,200
;;#VALUE!
Guam ;$15,000 (2005 est.) ;15,000
;;#VALUE!
Guatemala ;"$5,200 (2010 est.) 
$5,100 (2009 est.) 
$5,200 (2008 est.) 
note: data are in 2010 US dollars ";5,200
;;#VALUE!
Guernsey ;$44,600 (2005) ;44,600
;;#VALUE!
Guinea ;"$1,000 (2010 est.) 
$1,100 (2009 est.) 
$1,100 (2008 est.) 
note: data are in 2010 US dollars ";1,000
;;#VALUE!
Guinea-Bissau ;"$1,100 (2010 est.) 
$1,100 (2009 est.) 
$1,100 (2008 est.) 
note: data are in 2010 US dollars ";1,100
;;#VALUE!
Guyana ;"$7,200 (2010 est.) 
$6,900 (2009 est.) 
$6,600 (2008 est.) 
note: data are in 2010 US dollars ";7,200
;;#VALUE!
Haiti ;"$1,200 (2010 est.) 
$1,200 (2009 est.) 
$1,200 (2008 est.) 
note: data are in 2010 US dollars ";1,200
;;#VALUE!
Honduras ;"$4,200 (2010 est.) 
$4,200 (2009 est.) 
$4,400 (2008 est.) 
note: data are in 2010 US dollars ";4,200
;;#VALUE!
Hong Kong ;"$45,900 (2010 est.) 
$43,200 (2009 est.) 
$44,600 (2008 est.) 
note: data are in 2010 US dollars ";45,900
;;#VALUE!
Hungary ;"$18,800 (2010 est.) 
$18,500 (2009 est.) 
$19,800 (2008 est.) 
note: data are in 2010 US dollars ";18,800
;;#VALUE!
Iceland ;"$38,300 (2010 est.) 
$39,900 (2009 est.) 
$43,200 (2008 est.) 
note: data are in 2010 US dollars ";38,300
;;#VALUE!
India ;"$3,500 (2010 est.) 
$3,200 (2009 est.) 
$3,000 (2008 est.) 
note: data are in 2010 US dollars ";3,500
;;#VALUE!
Indonesia ;"$4,200 (2010 est.) 
$4,000 (2009 est.) 
$3,900 (2008 est.) 
note: data are in 2010 US dollars ";4,200
;;#VALUE!
Iran ;"$10,600 (2010 est.) 
$10,700 (2009 est.) 
$10,800 (2008 est.) 
note: data are in 2010 US dollars ";10,600
;;#VALUE!
Iraq ;"$3,800 (2010 est.) 
$3,900 (2009 est.) 
$3,800 (2008 est.) 
note: data are in 2010 US dollars ";3,800
;;#VALUE!
Ireland ;"$37,300 (2010 est.) 
$38,000 (2009 est.) 
$41,700 (2008 est.) 
note: data are in 2010 US dollars ";37,300
;;#VALUE!
Isle of Man ;$35,000 (2005 est.) ;35,000
;;#VALUE!
