Country;births/1,000 population;
Mexico;13.95;13.95
Saudi Arabia;13.9;13.9
Gibraltar;13.84;13.84
Greenland;13.66;13.66
Dominica;13.64;13.64
Grenada;13.61;13.61
Sri Lanka;13.61;13.61
Brazil;13.44;13.44
Turks and Caicos Islands;13.24;13.24
French Polynesia;13.22;13.22
Azerbaijan;13.2;13.2
Curacao;13.07;13.07
Lebanon;12.86;12.86
Iceland;12.8;12.8
New Zealand;12.69;12.69
Uruguay;12.65;12.65
Chile;12.57;12.57
Albania;12.48;12.48
Sint Maarten;12.41;12.41
Cook Islands;12.34;12.34
Jersey;12.31;12.31
Bahrain;12.3;12.3
Australia;12.23;12.23
United States;12.21;12.21
Seychelles;12.1;12.1
Saint Vincent and the Grenadines;12.09;12.09
Ireland;12.08;12.08
Saint Kitts and Nevis;12.06;12.06
Wallis and Futuna;12.05;12.05
Anguilla;11.9;11.9
Norway;11.89;11.89
Saint Lucia;11.73;11.73
Aruba;11.69;11.69
Cayman Islands;11.62;11.62
Luxembourg;11.59;11.59
Palau;11.57;11.57
France;11.56;11.56
Virgin Islands;11.35;11.35
Denmark;11.25;11.25
Montenegro;11.04;11.04
Netherlands;10.98;10.98
Bermuda;10.97;10.97
Falkland Islands (Islas Malvinas);10.9;10.9
British Virgin Islands;10.9;10.9
Belgium;10.86;10.86
United Kingdom;10.8;10.8
Armenia;10.8;10.8
Georgia;10.79;10.79
Sweden;10.76;10.76
United Arab Emirates;10.76;10.76
Barbados;10.73;10.73
Montserrat;10.66;10.66
Trinidad and Tobago;10.62;10.62
Isle of Man;10.49;10.49
Cyprus;10.37;10.37
North Macedonia;10.33;10.33
Finland;10.33;10.33
Liechtenstein;10.3;10.3
Switzerland;10.3;10.3
Canada;10.11;10.11
Thailand;10.04;10.04
Cuba;9.99;9.99
Moldova;9.94;9.94
Mauritius;9.82;9.82
Guernsey;9.73;9.73
China;9.69;9.69
Malta;9.59;9.59
Austria;9.39;9.39
Saint Helena, Ascension, and Tristan da Cunha;9.33;9.33
Saint Barthelemy;9.3;9.3
Qatar;9.27;9.27
Russia;9.22;9.22
Lithuania;9.09;9.09
Germany;9.02;9.02
Singapore;8.94;8.94
San Marino;8.88;8.88
Belarus;8.87;8.87
Serbia;8.87;8.87
Macau;8.82;8.82
Ukraine;8.79;8.79
Slovakia;8.78;8.78
Romania;8.63;8.63
Croatia;8.6;8.6
Hungary;8.58;8.58
Latvia;8.5;8.5
Estonia;8.48;8.48
Czechia;8.43;8.43
Poland;8.31;8.31
Bosnia and Herzegovina;8.31;8.31
Slovenia;8.12;8.12
Portugal;7.99;7.99
Bulgaria;7.97;7.97
Hong Kong;7.85;7.85
Puerto Rico;7.84;7.84
Greece;7.52;7.52
Taiwan;7.33;7.33
Spain;7.12;7.12
Italy;7;7
Korea, South;6.95;6.95
Japan;6.9;6.9
Andorra;6.87;6.87
Monaco;6.61;6.61
Saint Pierre and Miquelon;6.54;6.54
