Country;Happiness Score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Malta;6.3;0.045;6.388;6.212;10.661;0.923;71.6;0.886;0.119;0.729;1.778;1.841;1.468;0.547;0.671;0.2;0.143;1.429;9.59;4.96;10.8;5.9;44700.0;23.73;3.9;0.5
Panama;6.265;0.081;6.424;6.105;10.305;0.896;68.95;0.855;-0.133;0.878;1.778;1.714;1.402;0.475;0.63;0.065;0.036;1.943;17.71;3.22;9.7;3.9;29000.0;8.51;-1.6;1.2
Poland;6.26;0.042;6.343;6.177;10.453;0.925;69.049;0.765;-0.031;0.736;1.778;1.767;1.474;0.477;0.511;0.12;0.139;1.772;8.31;-0.34;6.5;5.2;34900.0;17.48;-1.7;1.9
Nicaragua;6.259;0.076;6.408;6.109;8.618;0.853;65.65;0.877;0.021;0.625;1.778;1.109;1.292;0.385;0.66;0.148;0.218;2.448;16.3;-2.04;8.6;4.6;5600.0;17.2;-2.0;0.5
Latvia;6.213;0.042;6.295;6.131;10.37;0.937;66.4;0.818;-0.056;0.83;1.778;1.737;1.505;0.405;0.58;0.107;0.071;1.808;8.5;-5.06;7.5;6.0;32100.0;21.77;-0.5;1.6
Bahrain;6.173;0.1;6.369;5.977;10.776;0.844;65.825;0.944;0.117;0.737;1.778;1.883;1.269;0.389;0.748;0.199;0.138;1.546;12.3;-0.99;4.2;2.2;49400.0;16.6;-10.1;4.6
Guatemala;6.15;0.108;6.362;5.939;9.116;0.812;62.9;0.856;-0.057;0.837;1.778;1.287;1.188;0.31;0.631;0.106;0.066;2.562;21.88;-1.63;6.5;3.1;8900.0;9.97;-1.3;0.4
Kazakhstan;6.144;0.048;6.239;6.049;10.166;0.931;65.802;0.853;0.0;0.721;1.778;1.664;1.491;0.389;0.628;0.136;0.149;1.688;14.92;0.39;3.8;4.5;26100.0;8.32;-1.8;0.9
Serbia;6.144;0.079;6.299;5.988;9.854;0.873;67.088;0.845;0.204;0.816;1.778;1.552;1.343;0.424;0.617;0.246;0.081;1.881;8.87;0.0;8.7;3.6;19800.0;23.49;0.2;1.8
Cyprus;6.13;0.054;6.236;6.024;10.611;0.826;72.802;0.724;-0.06;0.86;1.778;1.824;1.224;0.58;0.455;0.104;0.05;1.893;10.37;6.65;8.1;6.1;41700.0;22.42;1.8;1.4
Japan;6.129;0.042;6.211;6.047;10.616;0.894;74.349;0.799;-0.237;0.64;1.778;1.825;1.396;0.622;0.556;0.009;0.207;1.513;6.9;0.74;10.9;3.4;40800.0;35.2;-3.5;0.94
Croatia;6.125;0.057;6.237;6.013;10.341;0.917;68.95;0.757;-0.093;0.925;1.778;1.727;1.455;0.475;0.5;0.087;0.003;1.88;8.6;-0.26;7.8;5.5;31600.0;20.6;0.8;1.7
Brazil;6.125;0.065;6.252;5.997;9.582;0.836;65.749;0.801;-0.009;0.738;1.778;1.454;1.25;0.387;0.558;0.131;0.137;2.205;13.44;-0.19;10.3;6.0;14600.0;12.96;-1.1;1.3
El Salvador;6.122;0.069;6.257;5.986;9.089;0.755;65.597;0.918;-0.108;0.62;1.778;1.278;1.044;0.383;0.713;0.079;0.222;2.403;17.49;-7.01;9.9;4.1;9100.0;18.66;-2.5;1.0
Hungary;6.041;0.055;6.149;5.933;10.419;0.943;67.5;0.758;-0.059;0.839;1.778;1.754;1.519;0.435;0.501;0.105;0.065;1.663;8.58;1.21;7.3;4.8;33600.0;22.87;-2.0;1.0
Argentina;6.024;0.063;6.147;5.9;9.959;0.891;67.2;0.823;-0.089;0.814;1.778;1.59;1.388;0.427;0.587;0.088;0.082;1.861;15.38;-0.08;10.0;5.0;21500.0;10.87;-6.0;0.8
Honduras;6.023;0.089;6.196;5.849;8.635;0.766;64.063;0.843;0.097;0.843;1.778;1.115;1.072;0.341;0.613;0.189;0.062;2.631;17.64;-1.32;9.0;6.4;5600.0;14.77;-2.7;1.7
Uzbekistan;6.014;0.059;6.13;5.899;8.948;0.875;65.301;0.938;0.23;0.638;1.778;1.227;1.347;0.375;0.74;0.26;0.208;1.856;15.18;-1.7;6.8;4.9;7700.0;14.87;0.3;2.9
Malaysia;6.012;0.079;6.167;5.858;10.169;0.799;65.662;0.877;0.16;0.758;1.778;1.665;1.155;0.385;0.659;0.222;0.122;1.804;14.39;1.46;4.1;3.9;26300.0;10.89;-3.0;1.4
Portugal;5.968;0.055;6.076;5.86;10.429;0.878;71.25;0.902;-0.196;0.878;1.778;1.758;1.356;0.537;0.693;0.031;0.037;1.556;7.99;1.2;10.6;5.0;33700.0;22.04;-3.0;1.27
South Korea;5.951;0.045;6.04;5.862;10.693;0.812;73.65;0.717;-0.046;0.701;1.778;1.853;1.188;0.603;0.446;0.112;0.163;1.587;6.95;2.61;8.4;4.7;44200.0;14.86;1.4;2.5
Greece;5.931;0.048;6.024;5.838;10.288;0.835;71.15;0.568;-0.24;0.793;1.778;1.708;1.247;0.535;0.248;0.008;0.097;2.089;7.52;1.03;9.5;4.4;29500.0;24.74;0.8;2.3
Mauritius;5.902;0.057;6.013;5.791;9.957;0.888;63.85;0.813;-0.028;0.775;1.778;1.589;1.382;0.336;0.574;0.121;0.11;1.79;9.82;0.0;6.7;4.9;21000.0;20.72;-0.3;0.3
Thailand;5.843;0.064;5.969;5.717;9.751;0.874;68.45;0.85;0.289;0.91;1.778;1.515;1.344;0.461;0.624;0.291;0.013;1.594;10.04;-0.22;4.4;3.2;17100.0;14.48;-3.5;1.4
Mongolia;5.84;0.046;5.93;5.75;9.372;0.933;60.5;0.701;0.19;0.849;1.778;1.379;1.494;0.244;0.425;0.239;0.058;2.001;15.37;-0.77;4.9;4.7;11700.0;14.15;-6.4;0.9
Kyrgyzstan;5.825;0.045;5.913;5.737;8.486;0.911;66.852;0.934;0.181;0.904;1.778;1.061;1.439;0.417;0.735;0.234;0.018;1.92;19.08;-4.83;5.3;6.2;4800.0;14.92;-3.2;2.6
Moldova;5.819;0.052;5.922;5.717;9.499;0.857;65.299;0.84;-0.08;0.901;1.778;1.425;1.302;0.375;0.61;0.093;0.02;1.995;9.94;-8.8;6.8;6.4;14000.0;17.41;-0.6;0.4
China;5.818;0.044;5.905;5.731;9.738;0.836;68.689;0.882;-0.041;0.727;1.778;1.51;1.249;0.468;0.666;0.115;0.145;1.666;9.69;-0.11;5.6;3.6;16300.0;8.09;-3.8;1.8
Vietnam;5.763;0.052;5.865;5.662;9.287;0.821;65.502;0.939;-0.004;0.759;1.778;1.349;1.212;0.381;0.741;0.134;0.122;1.824;15.29;-0.21;4.7;4.1;10600.0;24.8;-6.7;2.5
Paraguay;5.738;0.058;5.851;5.625;9.51;0.906;65.9;0.891;0.021;0.843;1.778;1.428;1.427;0.392;0.678;0.148;0.062;1.604;16.15;-0.07;7.6;3.3;13700.0;9.51;-1.1;1.0
Montenegro;5.722;0.112;5.941;5.503;9.813;0.89;67.1;0.805;0.063;0.844;1.778;1.537;1.385;0.424;0.563;0.17;0.061;1.581;11.04;-4.99;11.4;;20600.0;37.2;-5.6;1.4
Jamaica;5.703;0.089;5.876;5.529;9.165;0.867;66.6;0.822;-0.106;0.875;1.778;1.305;1.329;0.411;0.587;0.079;0.039;1.954;15.77;-7.42;6.6;6.0;9600.0;25.71;0.5;0.9
Bolivia;5.684;0.057;5.797;5.572;8.985;0.811;63.599;0.868;-0.063;0.846;1.778;1.24;1.187;0.329;0.648;0.103;0.06;2.118;18.08;-0.96;7.9;9.8;8100.0;39.9;-7.8;1.5
Russia;5.661;0.037;5.734;5.588;10.21;0.889;64.947;0.719;-0.03;0.801;1.778;1.68;1.383;0.366;0.449;0.12;0.091;1.572;9.22;1.7;7.6;3.7;28000.0;10.83;-1.4;5.4
Bosnia and Herzegovina;5.633;0.073;5.775;5.49;9.616;0.88;67.275;0.746;0.206;0.918;1.778;1.467;1.361;0.429;0.485;0.247;0.008;1.635;8.31;-0.38;9.8;;15700.0;19.01;2.1;0.9
Colombia;5.63;0.06;5.747;5.514;9.584;0.822;69.35;0.804;-0.104;0.834;1.778;1.455;1.213;0.486;0.562;0.08;0.068;1.765;15.06;-1.85;9.0;4.9;14600.0;14.23;-2.7;3.1
Dominican Republic;5.569;0.073;5.712;5.426;9.811;0.827;64.399;0.85;-0.099;0.657;1.778;1.536;1.227;0.351;0.623;0.083;0.195;1.553;17.8;-2.66;4.9;4.6;18600.0;12.39;-3.0;0.6
Ecuador;5.559;0.063;5.682;5.436;9.27;0.806;69.0;0.802;-0.108;0.833;1.778;1.343;1.173;0.476;0.56;0.079;0.069;1.86;16.19;0.0;8.5;3.7;10700.0;12.54;-4.5;2.4
Peru;5.526;0.058;5.64;5.412;9.402;0.798;69.85;0.794;-0.119;0.892;1.778;1.39;1.153;0.499;0.549;0.073;0.027;1.835;16.96;-0.89;6.3;4.0;12500.0;13.2;-3.1;1.2
Philippines;5.523;0.077;5.675;5.371;8.979;0.78;62.038;0.919;-0.06;0.732;1.778;1.238;1.108;0.286;0.714;0.104;0.141;1.931;22.17;-0.04;5.1;3.7;8100.0;13.95;-2.2;1.4
Bulgaria;5.466;0.059;5.582;5.35;10.087;0.918;66.5;0.801;-0.057;0.911;1.778;1.635;1.457;0.408;0.557;0.106;0.013;1.289;7.97;-0.29;8.5;4.0;24400.0;20.27;1.8;1.2
Nepal;5.36;0.075;5.507;5.214;8.256;0.748;61.847;0.808;0.146;0.783;1.778;0.979;1.027;0.281;0.567;0.215;0.104;2.187;17.26;-4.29;5.2;4.2;3800.0;15.77;-0.1;2.6
Armenia;5.342;0.066;5.47;5.213;9.615;0.79;67.789;0.796;-0.155;0.705;1.778;1.466;1.134;0.443;0.551;0.053;0.16;1.534;10.8;-5.28;12.2;2.8;14200.0;21.86;-4.8;4.6
Tajikistan;5.33;0.062;5.452;5.207;8.237;0.836;62.226;0.832;-0.06;0.522;1.778;0.972;1.248;0.291;0.599;0.104;0.292;1.823;20.28;-1.02;8.2;5.9;3900.0;31.8;-1.5;2.2
Algeria;5.329;0.062;5.451;5.207;9.3;0.855;66.549;0.571;-0.117;0.717;1.778;1.353;1.298;0.409;0.252;0.073;0.152;1.791;17.84;-0.81;6.3;7.0;11000.0;32.3;-9.6;6.4
Hong Kong S.A.R. of China;5.308;0.048;5.403;5.214;10.966;0.817;77.28;0.687;-0.026;0.385;1.778;1.951;1.201;0.702;0.407;0.123;0.39;0.535;;;;;;;;
Albania;5.277;0.066;5.406;5.148;9.567;0.718;69.15;0.794;-0.007;0.878;1.778;1.449;0.951;0.48;0.549;0.133;0.037;1.678;12.48;-3.22;6.7;3.1;14500.0;17.02;-2.0;1.1
Indonesia;5.277;0.059;5.392;5.161;9.385;0.804;63.048;0.88;0.531;0.876;1.778;1.384;1.169;0.314;0.663;0.422;0.038;1.288;15.05;-0.71;3.4;3.5;11900.0;8.31;-2.7;0.9
South Africa;5.275;0.073;5.417;5.132;9.478;0.907;56.989;0.73;-0.087;0.902;1.778;1.417;1.428;0.149;0.464;0.09;0.019;1.708;18.24;0.11;8.6;6.6;13300.0;23.3;-4.4;1.1
Congo (Brazzaville);5.267;0.088;5.44;5.094;8.095;0.605;56.85;0.73;-0.004;0.739;1.778;0.921;0.665;0.145;0.464;0.134;0.136;2.802;31.55;0.0;4.5;4.5;3200.0;8.95;-7.0;4.2
North Macedonia;5.254;0.055;5.361;5.146;9.703;0.805;66.5;0.769;0.131;0.902;1.778;1.498;1.171;0.408;0.515;0.207;0.02;1.435;10.33;0.38;7.9;;16500.0;16.13;-2.7;0.9
Venezuela;5.211;0.064;5.336;5.085;5.527;0.839;64.05;0.659;0.128;0.811;1.778;0.0;1.257;0.341;0.369;0.205;0.084;2.955;16.99;13.55;3.8;1.3;12500.0;44.2;-46.1;1.8
Laos;5.111;0.081;5.269;4.952;8.962;0.679;60.946;0.919;0.091;0.703;1.778;1.232;0.853;0.257;0.715;0.185;0.162;1.707;20.35;-1.09;2.7;2.3;7800.0;18.3;-5.5;0.2
Georgia;5.109;0.056;5.219;5.0;9.646;0.716;64.95;0.786;-0.254;0.649;1.778;1.477;0.947;0.366;0.539;0.0;0.201;1.58;10.79;0.06;7.6;3.6;15500.0;21.41;-3.8;2.0
Guinea;5.072;0.072;5.213;4.931;7.88;0.649;54.185;0.659;0.125;0.787;1.778;0.844;0.776;0.072;0.369;0.204;0.102;2.705;35.47;0.0;4.0;2.2;2600.0;16.6;-0.5;1.9
Ukraine;5.071;0.059;5.187;4.956;9.314;0.878;64.55;0.795;0.24;0.907;1.778;1.358;1.354;0.355;0.551;0.265;0.016;1.172;8.79;-0.27;7.6;5.4;12900.0;19.15;-1.5;3.1
Ivory Coast;5.053;0.074;5.198;4.907;8.576;0.572;55.953;0.733;0.003;0.746;1.778;1.094;0.584;0.12;0.467;0.138;0.131;2.519;27.92;1.16;3.3;3.4;5300.0;12.11;-4.2;1.2
Gabon;5.035;0.072;5.175;4.894;9.537;0.746;58.252;0.642;-0.187;0.786;1.778;1.438;1.021;0.183;0.346;0.036;0.102;1.908;25.89;3.59;3.4;3.2;13800.0;11.48;-1.9;1.5
Nigeria;4.981;0.08;5.136;4.825;8.496;0.74;54.891;0.718;0.073;0.911;1.778;1.065;1.007;0.092;0.448;0.176;0.013;2.181;34.0;-0.21;3.4;0.5;4900.0;3.4;-1.8;0.4
Cameroon;4.973;0.071;5.112;4.834;8.217;0.686;55.847;0.686;0.015;0.846;1.778;0.965;0.871;0.118;0.405;0.144;0.059;2.411;35.13;-0.3;3.8;3.2;3700.0;10.87;-3.4;1.5
Mozambique;4.954;0.116;5.181;4.727;7.116;0.692;51.53;0.851;0.047;0.66;1.778;0.57;0.885;0.0;0.625;0.161;0.192;2.519;36.94;-1.54;7.6;6.3;1200.0;21.84;-5.6;0.9
Iraq;4.941;0.081;5.099;4.783;9.098;0.718;63.415;0.646;-0.005;0.876;1.778;1.281;0.953;0.324;0.351;0.134;0.038;1.861;24.22;-0.98;5.1;4.7;9000.0;1.34;-4.2;5.6
State of Palestine;4.908;0.092;5.089;4.727;8.716;0.859;;0.694;-0.132;0.836;1.778;1.144;1.309;;0.416;0.065;0.067;;;;;;;;;
Morocco;4.903;0.061;5.023;4.783;8.973;0.553;63.901;0.787;-0.231;0.811;1.778;1.236;0.535;0.337;0.54;0.013;0.085;2.158;17.1;-1.73;6.0;6.8;8100.0;20.02;-3.6;3.4
Iran;4.876;0.053;4.98;4.772;9.61;0.778;66.6;0.593;0.173;0.747;1.778;1.465;1.102;0.411;0.281;0.229;0.13;1.259;14.79;-0.3;5.3;3.6;15000.0;17.3;-2.3;4.3
Senegal;4.855;0.065;4.983;4.727;8.155;0.629;59.999;0.772;0.011;0.846;1.778;0.943;0.727;0.231;0.519;0.142;0.06;2.234;30.84;-0.69;5.2;5.5;3500.0;16.38;-3.6;1.5
Mauritania;4.724;0.147;5.011;4.437;8.591;0.644;60.475;0.622;-0.013;0.657;1.778;1.099;0.764;0.244;0.32;0.13;0.195;1.973;27.61;-0.71;3.4;1.9;5300.0;27.4;-0.8;2.5
Burkina Faso;4.638;0.093;4.819;4.456;7.667;0.663;55.461;0.696;0.095;0.771;1.778;0.768;0.814;0.107;0.419;0.188;0.113;2.23;32.71;-0.59;6.7;5.5;2200.0;13.28;-7.9;1.2
Namibia;4.631;0.069;4.766;4.496;9.121;0.787;56.851;0.669;-0.126;0.83;1.778;1.289;1.126;0.145;0.383;0.069;0.071;1.549;24.68;0.0;8.9;9.6;9100.0;31.17;-5.5;4.1
Turkiye;4.614;0.083;4.777;4.45;10.307;0.796;68.663;0.475;-0.077;0.795;1.778;1.714;1.148;0.467;0.125;0.095;0.096;0.969;14.04;-1.53;4.6;3.4;31500.0;17.64;-1.5;1.45
Ghana;4.605;0.063;4.729;4.481;8.596;0.641;58.763;0.777;0.139;0.881;1.778;1.101;0.756;0.197;0.526;0.211;0.035;1.779;28.04;-0.16;4.0;3.9;5400.0;11.34;-6.0;0.3
Pakistan;4.555;0.077;4.707;4.404;8.54;0.601;57.313;0.766;0.008;0.787;1.778;1.081;0.657;0.158;0.511;0.141;0.102;1.907;26.01;-1.01;2.8;2.4;5200.0;15.4;-5.8;3.6
Niger;4.501;0.108;4.712;4.291;7.091;0.59;56.55;0.788;0.032;0.734;1.778;0.561;0.628;0.137;0.54;0.154;0.14;2.341;46.86;-0.62;6.2;3.8;1200.0;21.4;-5.0;1.6
Tunisia;4.497;0.053;4.601;4.393;9.244;0.73;67.0;0.576;-0.213;0.907;1.778;1.333;0.981;0.422;0.259;0.022;0.016;1.463;14.05;-1.33;6.3;7.3;10400.0;24.7;-5.8;4.4
Kenya;4.487;0.066;4.616;4.357;8.458;0.69;58.499;0.696;0.288;0.852;1.778;1.051;0.881;0.19;0.418;0.291;0.055;1.601;26.01;-0.19;4.3;4.8;4700.0;14.3;-6.7;1.4
Sri Lanka;4.442;0.083;4.603;4.28;9.491;0.826;67.15;0.787;-0.03;0.808;1.778;1.422;1.224;0.426;0.539;0.12;0.086;0.625;13.61;-1.21;4.1;1.9;13400.0;7.68;-5.5;2.2
Uganda;4.432;0.089;4.607;4.258;7.716;0.794;58.913;0.701;0.114;0.857;1.778;0.785;1.144;0.201;0.425;0.197;0.051;1.628;40.27;-3.16;4.0;2.7;2200.0;11.39;-4.1;1.3
Chad;4.397;0.121;4.633;4.16;7.261;0.722;53.125;0.677;0.221;0.807;1.778;0.622;0.962;0.043;0.393;0.255;0.088;2.034;39.85;-0.12;5.4;2.9;1400.0;13.5;-1.5;2.5
Cambodia;4.393;0.059;4.508;4.279;8.385;0.747;61.9;0.958;0.073;0.857;1.778;1.025;1.024;0.283;0.768;0.176;0.051;1.068;18.75;-2.67;7.5;3.1;4400.0;17.89;-1.8;2.0
Benin;4.374;0.066;4.504;4.244;8.103;0.437;56.095;0.743;-0.043;0.576;1.778;0.924;0.242;0.124;0.481;0.114;0.253;2.235;40.72;0.24;2.6;3.0;3300.0;17.1;-6.2;0.7
Myanmar;4.372;0.082;4.533;4.212;8.404;0.787;61.388;0.727;0.491;0.658;1.778;1.032;1.125;0.269;0.46;0.4;0.194;0.893;16.04;-1.36;3.7;2.1;4000.0;6.44;-3.2;5.1
Bangladesh;4.282;0.068;4.416;4.148;8.685;0.544;64.548;0.845;0.005;0.698;1.778;1.133;0.513;0.355;0.617;0.139;0.165;1.361;17.5;-2.88;2.6;2.1;5900.0;7.0;-3.2;1.3
Gambia;4.279;0.105;4.484;4.075;7.648;0.584;57.9;0.596;0.364;0.883;1.778;0.761;0.614;0.174;0.286;0.332;0.033;2.081;28.03;-0.04;2.6;2.8;2100.0;20.3;-2.6;1.0
