RANK;Country;Happiness Score;Whisker-high;Whisker-low;Dystopia (1.83) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
88;Ivory Coast;5,235;5,384;5,085;2,652;1,094;0,442;0,322;0,451;0,149;0,124;28.3;1.18;3.3;3.4;5200.0;19.1;-4.2;1.1
89;North Macedonia;5,199;5,303;5,095;1,461;1,505;0,863;0,637;0,488;0,215;0,031;10.45;0.38;7.3;;15800.0;29.0;-2.7;1.8
90;Albania;5,199;5,321;5,076;1,718;1,439;0,646;0,719;0,511;0,138;0,028;12.69;-3.23;5.2;3.1;13300.0;27.6;-2.0;1.6
91;South Africa;5,194;5,315;5,073;1,742;1,425;1,088;0,361;0,442;0,089;0,046;18.56;0.0;9.1;6.6;11500.0;26.6;-4.4;0.8
92;Azerbaijan;5,173;5,265;5,082;1,098;1,458;1,093;0,560;0,601;0,023;0,341;13.59;0.0;4.0;4.3;13700.0;23.5;-1.6;5.2
93;Gambia;5,164;5,409;4,918;2,531;0,785;0,621;0,369;0,367;0,388;0,103;28.78;-0.04;3.8;2.8;2200.0;20.3;-2.6;0.8
94;Bangladesh;5,155;5,262;5,049;1,967;1,060;0,614;0,581;0,622;0,125;0,187;17.69;-2.9;2.5;2.1;4800.0;9.6;-3.2;1.1
95;Laos;5,140;5,263;5,018;1,709;1,239;0,654;0,479;0,679;0,197;0,184;20.9;-1.17;2.6;2.3;7800.0;18.3;-5.5;0.2
96;Algeria;5,122;5,215;5,030;1,744;1,363;0,970;0,643;0,146;0,106;0,150;18.52;-0.82;6.2;7.0;10700.0;32.3;-9.6;5.6
97;Liberia;5,122;5,428;4,815;2,844;0,636;0,670;0,309;0,405;0,178;0,080;36.64;-2.74;8.5;2.7;1400.0;16.9;-4.3;0.7
98;Ukraine;5,084;5,190;4,978;1,331;1,411;1,081;0,583;0,473;0,188;0,017;9.0;-0.26;7.1;5.4;12400.0;26.6;-1.5;4.0
99;Congo (Brazzaville);5,075;5,235;4,915;2,658;0,950;0,405;0,355;0,431;0,130;0,146;31.82;0.0;2.1;4.5;3400.0;22.5;-7.0;2.5
100;Morocco;5,060;5,181;4,938;2,405;1,208;0,268;0,565;0,492;0,020;0,102;17.42;-1.74;5.3;6.8;6900.0;20.9;-3.6;4.5
101;Mozambique;5,048;5,273;4,823;2,641;0,578;0,660;0,191;0,593;0,185;0,200;37.47;-1.58;7.8;6.3;1200.0;26.7;-5.6;1.2
102;Cameroon;5,048;5,188;4,907;2,469;0,968;0,672;0,317;0,397;0,152;0,074;35.53;-0.31;3.6;3.2;3600.0;15.3;-3.4;1.0
103;Senegal;5,046;5,171;4,921;2,419;0,933;0,530;0,447;0,494;0,143;0,081;31.51;-0.71;4.1;5.5;3300.0;19.6;-3.6;1.7
104;Niger;5,003;5,247;4,760;2,667;0,570;0,560;0,326;0,571;0,165;0,145;47.08;-0.64;5.7;3.8;1200.0;21.4;-5.0;1.8
105;Georgia;4,973;5,079;4,867;1,583;1,467;0,612;0,595;0,508;0,000;0,208;11.0;0.06;6.7;3.6;14100.0;28.7;-3.8;1.7
106;Gabon;4,958;5,091;4,826;1,892;1,459;0,738;0,396;0,343;0,032;0,099;26.03;3.67;2.8;3.2;14400.0;17.6;-1.9;1.7
107;Iraq;4,941;5,099;4,783;1,894;1,289;0,682;0,554;0,328;0,147;0,046;24.7;-0.83;4.5;4.7;9300.0;35.7;-4.2;3.7
108;Venezuela;4,925;5,051;4,800;2,790;0,000;0,968;0,578;0,283;0,225;0,082;17.27;13.88;5.4;1.3;7704.0;44.2;-46.1;5.2
109;Guinea;4,891;5,028;4,753;2,538;0,848;0,566;0,275;0,334;0,214;0,116;35.67;0.0;4.0;2.2;2700.0;16.6;-0.5;1.5
110;Iran;4,888;4,995;4,780;1,427;1,410;0,741;0,642;0,281;0,241;0,146;15.27;-0.3;6.7;3.6;12400.0;17.3;-2.3;2.3
111;Ghana;4,872;4,999;4,745;1,972;1,112;0,595;0,409;0,500;0,230;0,056;28.55;-0.16;3.4;3.9;5300.0;20.3;-6.0;0.5
112;Turkiye;4,744;4,845;4,644;1,059;1,707;0,865;0,702;0,209;0,087;0,115;14.28;-1.54;4.3;3.4;28400.0;20.3;-1.5;1.2
113;Burkina Faso;4,670;4,814;4,527;2,313;0,779;0,565;0,320;0,382;0,186;0,126;33.57;-0.61;5.5;5.5;2200.0;21.2;-7.9;2.4
114;Cambodia;4,640;4,765;4,516;1,410;1,019;0,732;0,505;0,740;0,166;0,068;19.29;-2.7;7.0;3.1;4200.0;17.9;-1.8;2.5
115;Benin;4,623;4,754;4,492;2,458;0,932;0,064;0,335;0,479;0,127;0,230;41.15;0.24;2.4;3.0;3300.0;17.1;-6.2;0.7
116;Comoros;4,609;4,849;4,368;2,304;0,899;0,476;0,424;0,185;0,195;0,125;22.52;-2.25;5.2;2.6;3100.0;25.3;-6.5;
117;Uganda;4,603;4,747;4,459;1,842;0,777;0,875;0,418;0,402;0,222;0,066;40.94;-3.26;3.8;2.7;2200.0;14.5;-4.1;2.5
118;Nigeria;4,552;4,651;4,453;1,784;1,079;0,732;0,300;0,444;0,175;0,038;34.19;-0.21;3.0;0.5;4900.0;3.4;-1.8;0.7
119;Kenya;4,543;4,683;4,403;1,661;1,032;0,605;0,401;0,440;0,322;0,082;26.39;-0.19;4.6;4.8;4200.0;17.6;-6.7;1.2
120;Tunisia;4,516;4,629;4,403;1,540;1,350;0,596;0,656;0,316;0,029;0,029;14.62;-1.33;7.0;7.3;9700.0;24.7;-5.8;3.0
121;Pakistan;4,516;4,634;4,397;1,940;1,049;0,413;0,374;0,448;0,181;0,112;26.48;-0.96;3.4;2.4;4600.0;15.4;-5.8;4.0
122;Palestinian Territories;4,483;4,665;4,300;1,368;1,148;0,957;0,521;0,336;0,073;0,079;;;;;;;;
123;Mali;4,479;4,611;4,347;2,373;0,792;0,483;0,311;0,350;0,128;0,042;41.07;-3.08;3.9;4.4;2200.0;20.0;-2.9;3.5
124;Namibia;4,459;4,593;4,326;1,414;1,292;0,877;0,354;0,384;0,067;0,071;25.01;0.0;8.5;9.6;8900.0;32.2;-5.5;3.0
125;Eswatini;4,396;4,607;4,185;1,688;1,274;0,786;0,197;0,259;0,038;0,154;23.35;-6.16;6.8;5.0;8400.0;28.6;-8.5;1.7
126;Myanmar;4,394;4,511;4,277;0,877;1,038;0,829;0,491;0,513;0,452;0,194;16.34;-1.37;4.7;2.1;4500.0;13.5;-3.2;3.4
127;Sri Lanka;4,362;4,487;4,237;0,595;1,415;0,934;0,660;0,529;0,150;0,079;13.8;-1.22;4.1;1.9;12500.0;13.8;-5.5;1.9
128;Madagascar;4,339;4,530;4,148;2,148;0,670;0,645;0,378;0,202;0,143;0,154;28.68;0.0;3.7;3.1;1500.0;15.9;-2.7;0.7
129;Egypt;4,288;4,377;4,198;0,856;1,388;0,732;0,548;0,469;0,041;0,254;21.46;-0.31;4.7;2.5;12000.0;17.9;-8.6;1.3
130;Chad;4,251;4,503;3,999;2,419;0,662;0,506;0,225;0,180;0,182;0,077;40.45;-0.13;4.4;2.9;1500.0;13.5;-1.5;2.5
131;Ethiopia;4,241;4,365;4,118;1,375;0,788;0,809;0,457;0,472;0,205;0,136;30.49;-0.19;3.2;4.5;2300.0;13.9;-3.2;0.5
132;Yemen;4,197;4,384;4,010;1,561;0,691;1,043;0,384;0,330;0,090;0,098;24.64;-0.19;4.3;;2500.0;9.0;-5.2;
133;Mauritania;4,153;4,356;3,950;1,207;1,100;0,865;0,450;0,304;0,088;0,138;28.06;-0.72;3.3;1.9;5000.0;27.4;-0.8;2.5
134;Jordan;4,152;4,276;4,029;0,695;1,324;0,724;0,675;0,476;0,058;0,200;22.58;-11.08;7.6;3.2;9800.0;23.6;-5.1;5.0
135;Togo;4,112;4,272;3,953;2,061;0,771;0,322;0,360;0,292;0,174;0,132;31.86;-1.81;5.7;4.0;2100.0;21.5;-3.8;1.8
136;India;3,777;3,828;3,726;0,795;1,167;0,376;0,471;0,647;0,198;0,123;16.82;0.16;3.0;4.5;6100.0;9.2;-3.5;2.2
137;Zambia;3,760;3,902;3,618;1,135;0,930;0,577;0,306;0,525;0,203;0,083;34.86;0.24;5.3;3.7;3300.0;17.4;-7.3;1.3
138;Malawi;3,750;3,941;3,560;1,661;0,648;0,279;0,388;0,477;0,140;0,157;27.94;0.0;7.4;2.9;1500.0;21.7;-3.4;0.9
139;Tanzania;3,702;3,847;3,558;0,735;0,848;0,597;0,425;0,578;0,248;0,270;33.3;-0.41;3.8;3.3;2600.0;15.2;-1.8;1.1
140;Sierra Leone;3,574;3,732;3,416;1,556;0,686;0,416;0,273;0,387;0,202;0,055;32.2;2.03;8.8;9.1;1600.0;15.6;-7.9;0.3
141;Lesotho;3,512;3,748;3,276;1,312;0,839;0,848;0,000;0,419;0,076;0,018;23.15;-4.55;11.3;8.7;2300.0;39.7;-6.0;1.5
142;Botswana;3,471;3,667;3,275;0,187;1,503;0,815;0,280;0,571;0,012;0,102;20.28;2.81;6.1;8.7;16000.0;30.5;-1.0;3.0
143;Rwanda;3,268;3,462;3,074;0,536;0,785;0,133;0,462;0,621;0,187;0,544;26.44;-3.21;6.4;3.8;2100.0;21.3;-4.3;1.4
144;Zimbabwe;2,995;3,110;2,880;0,548;0,947;0,690;0,270;0,329;0,106;0,105;33.07;-4.83;7.7;3.9;2700.0;21.5;-9.6;2.6
145;Lebanon;2,955;3,049;2,862;0,216;1,392;0,498;0,631;0,103;0,082;0,034;13.1;-0.94;8.7;1.7;11600.0;21.5;-6.9;3.2
146;Afghanistan;2,404;2,469;2,339;1,263;0,758;0,000;0,289;0,000;0,089;0,005;35.46;-0.1;13.2;2.9;2000.0;11.2;-15.1;3.3
