Overall rank;Country;Happiness Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
67;Pakistan;5.653;0.677;0.886;0.535;0.313;0.22;0.098;21.6;-1.2;2.8;2.9;5400.0;15.4;-5.8;4.03
68;Russia;5.648;1.183;1.452;0.726;0.334;0.082;0.031;10.7;1.7;5.3;3.7;27900.0;16.4;-1.4;3.93
69;Philippines;5.631;0.807;1.293;0.657;0.558;0.117;0.107;23.4;-1.9;4.4;2.7;8400.0;15.6;-2.2;1.13
70;Serbia;5.603;1.004;1.383;0.854;0.282;0.137;0.039;8.9;0.0;9.1;4.0;15100.0;42.7;0.2;1.39
71;Moldova;5.529;0.685;1.328;0.739;0.245;0.181;0.0;11.2;-9.3;9.0;6.7;6700.0;30.2;-0.6;0.35
72;Libya;5.525;1.044;1.303;0.673;0.416;0.133;0.152;17.2;0.9;;;9600.0;51.6;-25.1;
73;Montenegro;5.523;1.051;1.361;0.871;0.197;0.142;0.08;11.9;-4.9;7.6;;17800.0;37.2;-5.6;1.66
74;Tajikistan;5.467;0.493;1.098;0.718;0.389;0.23;0.144;22.8;-1.1;7.0;5.2;3200.0;31.8;-1.5;1.22
75;Croatia;5.432;1.155;1.266;0.914;0.296;0.119;0.022;8.8;-1.4;7.2;4.6;24700.0;46.1;0.8;1.68
76;Hong Kong;5.43;1.438;1.277;1.122;0.44;0.258;0.287;8.8;1.7;;3.3;61500.0;23.2;5.2;
77;Dominican Republic;5.425;1.015;1.401;0.779;0.497;0.113;0.101;18.9;-2.6;6.2;;17000.0;14.9;-3.0;0.74
78;Bosnia and Herzegovina;5.386;0.945;1.212;0.845;0.212;0.263;0.006;8.7;-0.4;9.2;;12800.0;44.0;2.1;1.11
79;Turkiye;5.373;1.183;1.36;0.808;0.195;0.083;0.106;15.4;-4.5;4.3;4.3;27000.0;20.3;-1.5;1.89
80;Malaysia;5.339;1.221;1.171;0.828;0.508;0.26;0.024;18.8;-0.3;3.8;4.7;29100.0;16.4;-3.0;0.98
81;Belarus;5.323;1.067;1.465;0.789;0.235;0.094;0.142;10.0;0.7;6.3;4.8;18900.0;40.7;2.9;1.27
82;Greece;5.287;1.181;1.156;0.999;0.067;0.0;0.034;8.3;2.3;8.5;;27800.0;48.8;0.8;2.28
